date	close
15-Sep-09	14.46
08-Sep-09	17.08
01-Sep-09	12.27
25-Aug-09	12.82
18-Aug-09	11.59
11-Aug-09	15.42
04-Aug-09	13.14
28-Jul-09	9.97
21-Jul-09	9.7
14-Jul-09	9.06
07-Jul-09	10.04
30-Jun-09	9.77
23-Jun-09	11.02
16-Jun-09	18.47
09-Jun-09	20.69
02-Jun-09	21.93
26-May-09	11.12
19-May-09	17.95
12-May-09	14.33
05-May-09	17.8
28-Apr-09	23.99
21-Apr-09	20.8
14-Apr-09	32.1
07-Apr-09	35.2
31-Mar-09	39.2
24-Mar-09	41.63
17-Mar-09	41.01
10-Mar-09	41.01
03-Mar-09	41.29
24-Feb-09	33.48
17-Feb-09	34.24
10-Feb-09	34.23
03-Feb-09	33.07
27-Jan-09	35.57
20-Jan-09	33.12
13-Jan-09	33.82
06-Jan-09	34.94
30-Dec-08	35.68
23-Dec-08	38.91
16-Dec-08	38.77
09-Dec-08	38.48
02-Dec-08	38.39
25-Nov-08	33.33
18-Nov-08	33.33
11-Nov-08	29.18
04-Nov-08	29.6
28-Oct-08	29.69
21-Oct-08	30.13
14-Oct-08	30.45
07-Oct-08	39.15
30-Sep-08	39.19
23-Sep-08	39.21
16-Sep-08	40.17
09-Sep-08	43.1
02-Sep-08	45.22
26-Aug-08	50.94
19-Aug-08	45.26
12-Aug-08	49.61
05-Aug-08	55.92
29-Jul-08	49.49
22-Jul-08	50.68
15-Jul-08	41.34
08-Jul-08	37.77
01-Jul-08	35.09
24-Jun-08	36.06
17-Jun-08	37.29
10-Jun-08	35.75
03-Jun-08	38.05
27-May-08	40.87
20-May-08	53.24
13-May-08	52.26
06-May-08	53.89
29-Apr-08	55.49
22-Apr-08	55.88
15-Apr-08	55.88
08-Apr-08	56.44
01-Apr-08	57.37
25-Mar-08	59.87
18-Mar-08	59.62
11-Mar-08	59.62
04-Mar-08	59.62
26-Feb-08	59.8
19-Feb-08	59.79
12-Feb-08	59.88
05-Feb-08	59.88
29-Jan-08	56.55
22-Jan-08	53.97
15-Jan-08	53.97
08-Jan-08	53.26
01-Jan-08	53.16
25-Dec-07	53.16
18-Dec-07	53.16
11-Dec-07	55.19
04-Dec-07	56.64
27-Nov-07	49.39
20-Nov-07	47.59
13-Nov-07	47.59
06-Nov-07	42.83
30-Oct-07	41.94
23-Oct-07	42.06
16-Oct-07	42.11
